news,code
"포항의 한 폐양어장에 갇혀있던 고양이 9마리가 동물보호단체에 구출됐다. [동물권행동 카라 페이스북 캡처]

동물보호단체가 경북 포항의 한 폐양어장에서 학대당하던 고양이 9마리를 구출했다. 학대 용의자는 20대 남성으로 조사됐다.

비영리 민간단체 ‘동물권행동 카라’는 21일 페이스북에 “오늘 시민들과 함께 포항 폐양어장 동물학대 현장을 수습하고 고양이 아홉 마리를 구조했다”고 밝혔다.

카라 측은 지난 2월 한 학대자가 고양이를 살해하고 해부한 모습을 사진으로 촬영해 소셜미디어(SNS)에 올렸다는 사실을 알게 된 몇몇 네티즌들의 협조 요청을 받고 현장 위치 등에 대한 조사에 나섰다.

단체는 이 과정에서 현장이 포항의 한 폐양어장이라는 사실을 확인하고 수사기관 고발 등을 준비하던 도중 현장 상황이 급박하다고 판단, 곧바로 포항으로 향했다고 전했다.

[MBC뉴스데스크 방송화면 캡처]



카라는 “현장에 토막난 사체 여러 구와 함께 살아있는 고양이들도 다수 갇혀 있다는 것을 알게 됐다”며 “심지어 경찰들은 현장을 보고도 특별한 조치를 하지 않은 사실을 알게 돼 즉각 처참한 학대 현장 고양이들을 구조하고 증거인멸을 막기 위해 일요일(20일) 밤 바로 짐을 꾸려 포항으로 내려갔다”고 설명했다.

구조 인력이 도착한 현장은 처참했다. 물이 빠진 3~4m 깊이의 양어장에 고양이들이 나오지 못하고 갇혀 있었으며 현장에선 훼손된 고양이 사체와 혈흔 등도 발견됐다.

카라 측은 시민들과 다른 동물보호단체들의 도움을 받아 현장에 있던 고양이들을 구조했다. 현장에서 구출한 고양이는 학대자의 가족이 전해 준 새끼 고양이 한 마리를 포함해 총 9마리였다.

카라는 “폐양어장에 방치됐던 사체들은 카라 활동가들이 훼손되지 않도록 잘 수습했다. 이후 사체는 범죄현장 증거물로 쓰이게 된다”며 향후 고발장 제출 등 법적 절차를 예고했다. 단체는 학대자가 올린 SNS 등을 토대로 29살 남성인 정모씨가 고양이들을 학대한 것으로 의심하고 있다.



포항의 한 폐양어장에서 고양이를 학대한 것으로 의심받는 정모 씨. [MBC뉴스데스크 방송화면 캡처]



정씨는 MBC와 인터뷰에서 두 달 전부터 포획 틀로 고양이를 잡기 시작했고 호기심에 학대를 하게 됐다고 주장했다. 그는 “엄청 우울했다, 사실은”이라며 “제가 호기심이 좀 컸던 것 같다. 한번 시도해 보고 싶어서 이런 식으로 아무도 모르게”라고 말했다.

또 “(한 마리가 물어서) 화나서 내팽개치고 바닥에 바로 던졌는데 움찔움찔하다가…”라며 “죄송하다. 제가 천벌을 받을 짓을 했다. 죄송하다”고 했다.

경찰은 정씨를 상대로 고양이 학대 혐의 등을 조사하고 이전 학대 사건들과 유사성을 살펴본다는 방침이다.

이보람 기자 lee.boram2@joongang.co.kr",사회
"강원 춘천시는 최근 목재산업 육성분야 신규사업 2건의 국비를 확보해 '목조 문화 공연장 및 목재친화도시' 조성을 추진한다고 21일 밝혔다.

시는 이번 사업을 통해 목조건축 기술력을 높이고 도시환경 목재문화를 증진시켜 지역경제 및 탄소중립에 기여할 방침이다.

시 관계자는 ""이번 사업을 통해 목조건축 기술력 제고 및 실용화에 나설 것""이라며 ""목재문화 확산으로 지역경제도 활성화할 수 있을 것으로 기대한다""고 말했다.

기사 제목과 주요 문장을 기반으로 자동요약한 결과입니다. 전체 맥락을 이해하기 위해서는 본문 보기를 권장합니다.",사회
"[이데일리 송혜수 기자] 전국에 30개 가까운 매장을 보유한 프랜차이즈 미용실에서 한 손님이 직원의 실수로 탈모 증상을 호소해 논란이 일고 있다. 해당 미용실 측은 손님에게 피해배상을 약속했지만, 보험금 지급에 제동이 걸리자 태도를 바꾼 것으로 알려졌다.

(사진=YTN 캡처)

21일 YTN에 따르면 출장 차 충남 아산에 갔던 정모씨는 지난 2일 유명 프랜차이즈 미용실에서 염색했다. 이후 집에 돌아와 머리를 감았던 그는 심장이 ‘쿵’하고 내려앉았다고 했다. 그의 손에 머리카락이 잔뜩 빠져 있었던 것이다.

놀란 정씨는 곧장 미용실에 이를 항의했다. 미용실 측은 실수로 염색약에 다른 약품을 섞어 머리카락이 눌리고 끊어졌다며 잘못을 인정한 것으로 전해졌다. 염색약에 산화제를 넣어야 하는데 직원이 실수로 곱슬머리를 펴는 약을 넣었다는 설명이었다.

이로 인해 정씨는 모발 손실과 피부염에 대해 약물치료를 받게 됐다. 또 추후 탈모 가능성도 관찰해야 한다는 의사 소견을 받았다고 주장했다. 미용실 측은 잘못을 인정하고 피해배상을 약속했다고 한다.

(사진=YTN 캡처)

그런데 미용실이 가입한 손해보험사가 이에 대한 보험금 지급을 거부하면서 문제가 시작됐다. 미용실 측은 보험금 지급이 안 된다면 자체적으로 피해배상이 어렵다고 밝혔다.

그러면서 이들은 자체 ‘탈모 클리닉’ 제공을 정씨가 거부했고 잦은 전화 등으로 자신들도 피해를 봤다고 주장한 것으로 알려졌다. 다만 본사 차원에서 합의점을 찾는 과정을 진행하겠다고 밝혔다.

이에 정씨는 손해배상소송을 진행하기로 했다. 정씨는 YTN과의 인터뷰에서 “점점 그들의 태도가 바뀌는 것을 보면서 너무 분노하게 됐다”라며 심경을 전했다.

송혜수 (ssong@edaily.co.kr)",사회
"21일 서울 중구 이화여고 정문 앞에서 이화여대 관현악과 소속 교수와 졸업생, 재학생들이 첼로 연주를 하고 있다. 우크라이나의 평화를 위해 배일환 이화여대 관현악과 교수(왼쪽)가 기획한 연주회로 전쟁이 끝날 때까지 매일 낮 12시 반 같은 장소에서 열린다. 전영한 기자 scoopjyh@donga.com

“음악이 칼보다 강하다고 생각해 연주회를 열기로 했습니다.”



21일 서울 중구 정동길에서 만난 이화여대 관현악과 배일환 교수는 ‘평화를 위한 작은 음악회’를 기획한 이유를 이렇게 설명했다. 음악회에 러시아 침공으로 포성이 멈추지 않는 우크라이나의 평화를 기원하는 마음을 담았다. 음악회가 열린 장소도 주한 러시아대사관과 가까운 이화여고 정문 앞이다.



재학생과 졸업생으로 구성된 이화여대 음악 봉사 동아리 ‘이화첼리’와 ‘이화다움’ 단원들이 흔쾌히 동참해 기획부터 실제 연주회까지 나흘이 채 걸리지 않았다.



낮 12시 반에 시작된 음악회에선 헨델의 ‘울게 하소서’를 시작으로 7곡이 연주됐다. 연주자들은 모두 우크라이나 국기가 그려진 마스크를 착용했다. 첼로 4중주가 거리에 울려 퍼지자 다수의 시민들이 발길을 멈추고 음악에 귀를 기울였다. 음악회는 30분 동안 이어졌다. 연주회는 전쟁이 끝날 때까지 휴일을 빼고 매일 같은 시간에 이곳에서 열린다.



직장인 조은혜 씨(41)는 “취지도 좋고 연주도 감동적이라 눈물이 날 뻔했다”면서도 “종전까지 음악회가 계속된다고 하니 하루빨리 음악회가 끝나는 날이 오면 좋겠다”고 말했다. 직장인 이모 씨(52)도 “평화를 위해 교수님과 제자들이 거리에서 공연하는 모습이 인상적”이라며 “내일은 국악을 연주한다고 하는데 동료들과 함께 또 보러올 생각”이라고 했다.



최근 대학가에선 우크라이나를 돕기 위한 행사가 잇따르고 있다. 명지대 국제교류 학생클럽 ‘어우라미’는 7일부터 일주일 동안 우크라이나 긴급구호를 위한 모금 캠페인을 진행했다. 명지대 관계자는 “학생들이 기획한 캠페인에 교수, 교직원, 노조까지 동참해 약 350만 원의 성금을 모았다”며 “15일 유엔난민기구(UNHCR)에 전액 기부했다”고 밝혔다. 세종대와 세종사이버대 등도 교수와 교직원, 학생이 모금한 1000만 원을 10일 주한우크라이나 대사관에 전달했다.



소셜네트워크서비스(SNS)에서 릴레이 캠페인을 펼치는 학교도 있다. 한국외대 우크라이나어과는 학과 인스타그램에서 평화 포스터 릴레이를 진행 중이다. ‘#나는_우크라이나를_지지합니다’라는 해시태그와 함께 우크라이나 국기 사진 등을 올리는 식이다. 김기범 우크라이나어과 학생회장은 “학과 학생들은 매주 주말 러시아대사관 앞 평화 집회에도 참여 중”이라며 “다음달 27일부터 명동성당 갤러리에서 학우들이 직접 제작한 평화 포스터를 전시할 예정”이라고 했다.

전혜진 기자 sunrise@donga.com",사회
"[앵커]

확진자 폭증에 재택치료 환자도 199만 명을 기록했습니다.

어제보다 15만 명 정도 줄었지만 지난 일주일 동안 53만 명 넘게 증가한 것을 보면 감소 추세라고 보긴 힘듭니다.

이렇다 보니 동네 약국마다 해열제와 같은 기본적인 상비약은 물론 소아용 해열제와 감기약까지 동나는 등 수급에 비상이 걸렸습니다.

김세정 기자가 현장 상황을 취재했습니다.

[리포트]

인천광역시 계양구의 한 약국입니다.

코로나19 확진자가 급증하면서 미리 상비약을 찾는 사람들이 크게 늘었습니다.

해열제나 종합감기약 등은 이미 동난지 오래.

[""(해열제 있나요?) 품절이에요. 대신할 만한 것도 없는...지금 품절이 꽤 오래됐고.""]

의약품 도매사이트를 수시로 접속해 보지만, 추가 공급 일정조차 불투명합니다.

발길을 돌리는 환자도, 빈손으로 손님을 보내는 약사들도 답답하긴 마찬가집니다.

[윤종배/약사 : ""아침에 출근하면 제일 먼저 확인하는 게 품절된 약들 확인하고, 흔히 하는 말로 한 숨이나 쉬고 있습니다. 답답하죠. 지금.""]

성인용은 물론이고, 최근 소아 확진자가 급증하면서, 어린이용 해열진통제와 종합감기약 진열대도 텅 비었습니다.

어린 자녀를 둔 부모들은 약을 구하느라 애가 탑니다.

[박재형/약국 손님 : ""매일 (약국을) 3~4군데 정도 돌아다녔던 것 같아요. 해열제라든지 필요한 약을 구하기는 좀 힘들었어요. 당장 아기가 새벽에 열이 많이 올라서 거의 40도까지 올랐는데.""]

보건의료노조는 필수 약품 품귀 현상이 빚어지면서 재택 환자들이 사실상 방치되고 있다며 정부의 대책을 촉구했습니다.

[송금희/보건의료노조 사무처장 : ""(재택치료환자는) 계속 늘어나는데 약이 제대로 제때 공급이 안 되면 환자들은 그냥 그대로 방치당하면서 경증에서 준중증, 위중증으로 계속 발전해나갈 수 있는 거죠.""]

정부는 해열진통제와 감기약이 시중에 충분히 공급되도록 제약업계와 노력하고 사재기에 대비한 모니터링도 강화하겠다고 밝혔습니다.

식품의약품안전처장이 제약회사 공장까지 방문해 물량 증대를 독려했지만 공급이 수요를 따라가지 못하는 상황이어서 당분간 코로나 필수 약품 부족 상태는 지속될 것으로 보입니다.

KBS 뉴스 김세정입니다.

영상편집:박상규

■ 제보하기

▷ 카카오톡 : 'KBS제보' 검색

▷ 전화 : 02-781-1234

▷ 이메일 : kbs1234@kbs.co.kr

▷ 뉴스홈페이지 : https://goo.gl/4bWbkG

김세정 기자 (cleank@kbs.co.kr)",사회
"다음은 코로나 소식입니다.

나흘 전 62만 명이었던 신규 확진자는 계속 줄어 오늘은 20만 명대를 기록했습니다.

20만 명대로 떨어진 건 열흘 만입니다.

확진자 규모는 줄었지만 방역지표는 여전히 불안합니다.

300명 넘는 사망자가 이어지고 있고, 위중증 환자도 2주째 천 명댑니다.

전국 중환자 병상 가동률은 70% 가까이 차 올랐습니다.

문제는 오미크론 보다 전파력이 30% 정도 높은 '스텔스 오미크론' 검출 비중이 빠르게 늘고 있다는 겁니다.

지난주 스텔스 오미크론 검출률은 41.4%.

4주 전과 비교하면 네 배 이상 늘었습니다.

이에 따라 방역당국은 당초 예상보다 유행 정점이 늦어질 수 있다고 분석했습니다.

[정은경/질병관리청장 : ""오미크론 변이 중에 BA.2의 점유율이 증가하고 있고, 또 최근에는 신속항원검사로 확진을 인정하는 등 유행 정점까지 기간이 지연되고 규모가 커질 가능성이 있다고 판단하고 있습니다.""]

정부는 먹는 치료제를 추가 확보하고 병상 운영 효율화를 위해 의료 대응 역량을 고위험군에 집중하기로 했습니다.

또 최근 사망자의 43% 이상이 미접종, 또는 1차 접종자인 만큼 적극적인 접종 참여를 당부했습니다.

■ 제보하기

▷ 카카오톡 : 'KBS제보' 검색

▷ 전화 : 02-781-1234

▷ 이메일 : kbs1234@kbs.co.kr

▷ 뉴스홈페이지 : https://goo.gl/4bWbkG

KBS",사회
"한국도시가스협회가 동해안 산불 피해지역 지원을 위한 성금 5천만원을 21일 전국재해구호협회에 기탁했습니다.

성금은 경북 울진과 강원 강릉, 삼척 등 동해안 지역 산불 피해 조기 복구를 위해 지원될 예정입니다.

성금 5천만원은 전국 도시가스회사가 함께 출연해 조성한 사회공헌기금에서 마련됐습니다.

송재호 한국도시가스협회 회장은 ""이번 성금으로 피해지역의 빠른 복구와 주민들이 아픔을 이겨내는데 도움이 되길 바란다""고 밝혔습니다.

기사 제목과 주요 문장을 기반으로 자동요약한 결과입니다. 전체 맥락을 이해하기 위해서는 본문 보기를 권장합니다.",사회
"강원도는 동계스포츠 국제대회 최초로 2024 강원동계청소년올림픽대회에 난민 대표팀 참가를 추진한다고 21일 밝혔다.

특히 동계스포츠 국제대회 최초로 2024 강원 동계청소년올림픽대회 난민 청소년 대표팀 참가를 추진하기로 했다.

최문순 강원지사는 ""2024 강원 동계청소년올림픽이 세계 난민에게 희망과 평화의 상징이 되고 스포츠 축제를 통해 난민들이 하나의 연합 국가로 다시 태어날 수 있길 기대한다""고 말했다.

기사 제목과 주요 문장을 기반으로 자동요약한 결과입니다. 전체 맥락을 이해하기 위해서는 본문 보기를 권장합니다.",사회
"서울시가 종증장애인 약 10만세대대의 수도요금을 오는 5월분부터 감면합니다.

서울시에 거주하고 있는 중증장애인 세대는 다음달 15일까지 주민센터에서 감면을 신청하면 혜택을 받을 수 있으며, 이미 혜택을 받고 있는 기초생활수급자급자나 독립유공자 가구는 중복 감면을 막기 위해 대상에서 제외됩니다.

서울시는 코로나19 장기화로 어려움을 겪는 중증장애인 세대 등 사회적 배려가 필요한 계층에 대해 실질적인 혜택이 돌아가도록 정책을 발굴할 계획입니다.

기사 제목과 주요 문장을 기반으로 자동요약한 결과입니다. 전체 맥락을 이해하기 위해서는 본문 보기를 권장합니다.",사회
"광명문화복합단지 조감도. 사진제공=광명도시공사



【파이낸셜뉴스 광명=강근주 기자】 광명도시공사는 광명문화복합단지 도시개발사업(이하 본 사업)에 대한 경기도 의견을 반영한 조치계획을 광명시에 제출하는 등 행정절차가 정상적으로 추진되고 있다고 21일 밝혔다.

광명문화복합단지는 광명동굴 활성화를 위한 광명동굴 주변 개발사업 추진을 목적으로 광명시 주관 2015년 광명동굴 주변 도시개발사업 타당성 조사용역 및 2017년 투자설명회를 개최했다.

공사 다른 법인 출자타당성 검토용역, 다른 법인 출자동의안에 대한 광명시의회 의결 등을 거쳐 민간사업자 공모 및 협약체결을 완료하고 2020년 민관합동법인인 ㈜광명문화복합단지피에프브이를 설립했다.

공사는 사업 추진과정에서 2020년 9월부터 약 3개월간 광명시의회 특별조사위원회 조사로 수백 건의 자료 제출 요구를 받고, 2021년 1월 일부 시의원 및 시민단체로부터 공무집행 방해 및 사기 혐의로 경기남부경찰청에 고발돼 조사를 받았다. 그러나 특별조사위원회는 결과 보고서를 채택하지 않았고, 경찰은 조사 결과 ‘무혐의’ 처분을 내렸다.

아울러 2021년 2월 광명시흥 신도시 건설방안이 발표됨에 따라 먼저 추진되고 있던 광명문화복합단지 개발은 신도시와 기반시설 및 개발계획 연계수립이 불가피하게 되고, 2021년 10월 성남대장동 사태 관련 언론 보도가 나오면서 공공성 강화 방안 마련 등으로 광명시 도시계획위원회 재 자문 통보를 받으며 원활한 사업 추진에 진통을 겪었다.

이에 따라 도시개발사업 공공성 강화를 위해 주거용지 확대를 지양하고, 2021년 12월 개정된 도시개발법(2022년 6월22일 시행) 내용에 따라 민간참여자 이윤율 제한(총사업비 10%) 및 초과된 이윤은 생활편의 증진 시설(주차장, 복합환승센터, 공공·문화체육시설) 등으로 재투자하는 것으로 사업계획에 적극 반영할 예정이다.

박충서 공사 본부장(사장 직무대행)은 “광명문화복합단지 개발사업이 광명동굴 재활성화에 기여하고, 3기 신도시 등 주변 개발지역과 연계 및 침체된 지역경제 활성화를 도모해 경기도 서남부권 거점 역할을 수행할 수 있도록 조기 사업 추진을 위해 최선을 다하겠다”고 말했다.",사회
